timestamp,frame_id,class_id,class_name,confidence,x1,y1,x2,y2,inference_ms,end_to_end_fps
1788286866.80335,98,2,mouse,0.36919,1.96,68.21,234.22,303.52,48.176,7.500
1788286866.9383829,99,2,mouse,0.92975,434.75,0.00,639.98,318.62,48.335,7.500
1788286866.9388816,99,2,mouse,0.81428,167.28,14.24,440.53,242.45,48.335,7.500
1788286866.9393392,99,2,mouse,0.77622,0.00,357.82,639.96,480.00,48.335,7.500
1788286866.9397912,99,2,mouse,0.73831,0.23,60.73,233.77,303.50,48.335,7.500
1788286867.070092,100,2,mouse,0.93572,430.88,0.00,639.96,310.02,48.363,7.500
1788286867.0705905,100,2,mouse,0.86103,0.18,62.28,231.15,303.04,48.363,7.500
1788286867.0710442,100,2,mouse,0.86089,164.27,15.54,436.57,238.20,48.363,7.500
1788286867.0714765,100,2,mouse,0.67178,4.29,357.68,640.00,479.46,48.363,7.500
1788286867.2013516,101,2,mouse,0.92660,424.76,0.00,638.71,304.59,48.007,7.500
1788286867.2018766,101,2,mouse,0.87816,173.04,17.69,431.96,235.43,48.007,7.500
1788286867.2023306,101,2,mouse,0.76154,0.00,354.68,637.97,480.00,48.007,7.500
1788286867.3379278,102,2,mouse,0.94220,156.92,18.78,429.40,234.56,48.407,7.500
1788286867.3384366,102,2,mouse,0.93394,422.16,0.00,638.81,302.61,48.407,7.500
1788286867.3389072,102,2,mouse,0.69433,0.95,353.77,639.81,480.00,48.407,7.500
1788286867.470202,103,2,mouse,0.95115,157.98,8.96,430.78,232.12,48.398,7.500
1788286867.4706995,103,2,mouse,0.94209,423.54,0.00,639.90,302.44,48.398,7.500
1788286867.4711714,103,2,mouse,0.64591,2.29,352.49,640.00,480.00,48.398,7.500
1788286867.471643,103,2,mouse,0.37461,0.00,56.81,225.44,299.24,48.398,7.500
1788286867.6027722,104,2,mouse,0.94960,419.70,0.00,638.77,298.47,48.453,7.500
1788286867.6032836,104,2,mouse,0.87056,174.39,4.99,426.11,227.59,48.453,7.500
1788286867.6037354,104,2,mouse,0.72978,0.00,348.82,639.53,480.00,48.453,7.500
1788286867.6041937,104,2,mouse,0.55585,0.19,9.09,219.15,293.48,48.453,7.500
1788286867.6046283,104,2,mouse,0.36308,0.00,187.77,638.87,480.00,48.453,7.500
1788286867.738296,105,2,mouse,0.91991,156.40,24.23,396.73,239.44,48.531,7.500
1788286867.7388046,105,2,mouse,0.91300,390.09,0.15,640.00,307.88,48.531,7.500
1788286867.7392738,105,2,mouse,0.82231,0.00,359.60,636.76,480.00,48.531,7.500
1788286867.7397404,105,2,mouse,0.36969,0.00,2.26,196.96,306.00,48.531,7.500
1788286867.8646607,106,,,,,,,,48.123,7.500
1788286868.0021658,107,2,mouse,0.94868,131.94,170.77,409.38,410.07,48.554,7.500
1788286868.0026546,107,2,mouse,0.77717,514.25,1.73,640.00,339.87,48.554,7.500
1788286868.0030951,107,2,mouse,0.70432,414.37,134.83,640.00,477.58,48.554,7.500
1788286868.1370337,108,2,mouse,0.82994,535.94,70.33,640.00,396.61,48.412,7.500
1788286868.2692432,109,2,mouse,0.53701,570.15,187.96,640.00,477.33,48.284,7.500
1788286868.2697418,109,2,mouse,0.44287,220.88,315.86,469.09,479.90,48.284,7.500
1788286868.3967123,110,,,,,,,,48.194,7.500
1788286868.5332067,111,,,,,,,,48.473,7.500
1788286868.6696665,112,3,laptop,0.36096,5.35,0.00,478.35,475.52,48.154,7.500
1788286868.7968874,113,,,,,,,,48.439,7.500
1788286868.9372804,114,0,bottle,0.51184,206.95,0.50,492.53,477.86,48.394,7.501
1788286868.9378557,114,0,bottle,0.49406,0.00,0.00,232.19,480.00,48.394,7.501
1788286869.0693827,115,0,bottle,0.56971,0.00,0.00,226.44,476.00,48.066,7.500
